author,like_count,retweet_count,retweeted,hashtags_count,created,symbol_cnt,words_cnt,uniq_words_cnt
Новая Газета,1,1,False,0,2018-04-24,95,11,11
Новая Газета,25,13,False,0,2018-04-24,118,14,14
Новая Газета,41,19,False,0,2018-04-23,145,17,17
Новая Газета,37,51,False,0,2018-04-23,140,17,16
Новая Газета,14,11,False,0,2018-04-23,140,17,15
Новая Газета,312,117,False,0,2018-04-23,140,19,19
Новая Газета,3,10,False,0,2018-04-23,120,15,15
Новая Газета,45,54,False,0,2018-04-23,140,18,18
Новая Газета,16,12,False,0,2018-04-23,140,20,20
Новая Газета,28,26,False,0,2018-04-23,116,12,12
