author,comment_date,comment_nickname,comment_rating,comment_rel,comment_time,post_date,post_id,post_time,status,title
AlexLeonov,22-05-15,dostelon,–1,8430503,18:30,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,Yavanosta,+9,8430531,18:40,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,sayber,+17,8430671,20:22,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,23-05-15,nochkin,+4,8431091,06:48,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,Fesor,+1,8431819,19:56,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,25-05-15,hMartin,–4,8432181,07:14,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,25-05-15,Fesor,+1,8432217,08:57,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,AlexLeonov,+4,8430509,18:33,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,maxic,0,8431961,23:17,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,Fesor,0,8431969,23:23,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,maxic,0,8431979,23:35,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,25-05-15,symbix,+1,8432249,09:29,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,25-05-15,maxic,0,8432257,09:37,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,25-05-15,symbix,+2,8432365,10:43,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,26-05-15,maxic,0,8435243,17:05,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,26-05-15,symbix,0,8435511,18:59,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,26-05-15,maxic,0,8435555,19:25,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,26-05-15,symbix,0,8435737,21:23,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,26-05-15,Fesor,0,8435769,22:04,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,26-05-15,symbix,0,8435883,23:24,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,27-05-15,Fesor,0,8435963,00:44,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,27-05-15,symbix,0,8436157,08:48,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,27-05-15,maxic,0,8437107,18:42,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,diwms,+1,8430537,18:42,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,AlexLeonov,+8,8430541,18:44,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,diwms,0,8430593,19:11,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,AlexLeonov,+7,8430801,22:11,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,hudson,0,8431871,20:47,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,25-05-15,diwms,0,8432303,10:10,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,25-05-15,hudson,0,8432513,12:11,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,25-05-15,diwms,0,8432605,12:53,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,25-05-15,hudson,+1,8432627,13:05,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,25-05-15,diwms,0,8432943,15:12,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,25-05-15,hudson,0,8432969,15:22,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,27-05-15,Electronick,0,8436365,11:27,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,27-05-15,Fesor,0,8436451,12:18,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,27-05-15,neolink,0,8436493,12:40,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,27-05-15,Fesor,0,8436535,13:04,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,27-05-15,Electronick,0,8436587,13:37,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,27-05-15,Fesor,0,8436615,13:54,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,27-05-15,Fesor,0,8436449,12:17,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,27-05-15,diwms,0,8436507,12:50,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,27-05-15,Fesor,0,8436533,13:03,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,Sartor,–4,8430571,18:56,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,neolink,+13,8430577,19:00,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,Ugputu,+1,8430781,22:01,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,23-05-15,hell0w0rd,0,8430957,00:03,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
