author,comment_date,comment_nickname,comment_rating,comment_rel,comment_time,post_date,post_id,post_time,status,title
atomlib,11-05-16,beaverBox,+20,8890440,11:58,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
atomlib,11-05-16,spmbt,+1,8890624,13:00,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
atomlib,11-05-16,boomwest,+8,8890660,13:21,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
atomlib,11-05-16,beaverBox,+2,8890738,14:02,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
atomlib,14-05-16,mbutsykin,0,8894510,07:27,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
atomlib,11-05-16,Vjaka,+3,8890662,13:21,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
atomlib,11-05-16,brainunavailable,+1,8890776,14:18,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
atomlib,11-05-16,svlasov,0,8890848,14:45,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
atomlib,12-05-16,ilya_compman,0,8892420,14:04,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
atomlib,12-05-16,svlasov,0,8892432,14:10,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
atomlib,11-05-16,izdi,+2,8890868,14:52,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
atomlib,11-05-16,leremin,+38,8890442,12:00,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
atomlib,11-05-16,n0isy,+2,8890508,12:23,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
atomlib,11-05-16,Talkerbox,+3,8890664,13:21,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
atomlib,11-05-16,denis_g,+18,8890940,15:32,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
atomlib,11-05-16,Radegast,+13,8890682,13:33,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
atomlib,11-05-16,leremin,+9,8890750,14:04,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
atomlib,11-05-16,dr_begemot,+6,8890950,15:38,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
atomlib,11-05-16,Mingun,+5,8891418,20:12,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
atomlib,12-05-16,Radegast,+2,8891998,11:06,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
atomlib,11-05-16,Scratch,+1,8890546,12:33,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
atomlib,11-05-16,Shersh,+5,8890574,12:40,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
atomlib,11-05-16,Scratch,0,8890602,12:50,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
atomlib,11-05-16,d5v,+2,8891138,17:28,2016-05-11,283312,11:52,ok,GitHub поменял тарифы
