author,comment_date,comment_nickname,comment_rating,comment_rel,comment_time,post_date,post_id,post_time,status,title
useful,24-04-15,nomit,+7,8392093,17:13,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,24-04-15,vedenin1980,+13,8392103,17:19,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,24-04-15,RPG18,+19,8392105,17:20,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,24-04-15,Myosotis,+2,8392117,17:23,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,24-04-15,DjSapsan,+3,8392125,17:25,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,24-04-15,lair,+10,8392531,21:30,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,24-04-15,Vedomir,–2,8392647,23:07,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,DjSapsan,–3,8393171,16:30,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,deadem,0,8393319,22:19,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,24-04-15,Kroid,+8,8392153,17:45,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,24-04-15,Kroid,0,8392181,17:59,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,27-04-15,Myosotis,+1,8394765,12:51,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,28-04-15,Dovgaluk,0,8397673,19:38,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,24-04-15,Monnoroch,+23,8392157,17:46,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,24-04-15,a553,+18,8392165,17:51,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,24-04-15,servekon,–12,8392639,22:59,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,namespace,+5,8392725,00:23,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,servekon,–1,8392893,09:58,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,leventov,0,8393163,16:05,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,servekon,0,8393279,20:32,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,27-04-15,Myosotis,0,8394779,12:55,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,burdakovd,+1,8392773,02:25,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,JeStoneDev,0,8392837,07:47,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,kolpeex,0,8392891,09:56,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,meta4,0,8393055,13:21,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,burdakovd,0,8393249,19:34,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,Bronx,+1,8392831,07:28,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,sheshanaag,+2,8392899,10:04,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,volum_separatum,+4,8392973,11:54,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,26-04-15,Mrrl,0,8393475,08:55,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,24-04-15,EndUser,+3,8392175,17:53,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,24-04-15,izac,+1,8392223,18:23,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,24-04-15,PapaBubaDiop,+6,8392337,19:25,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,24-04-15,Corpsee,+2,8392355,19:38,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,24-04-15,Kelheor,0,8392489,21:08,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,Riateche,0,8393133,15:11,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,24-04-15,lair,+2,8392533,21:31,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,24-04-15,R0ckwi11,+2,8392557,21:52,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,24-04-15,vedenin1980,+1,8392591,22:22,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,topa,0,8392715,00:11,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,24-04-15,Vedomir,+1,8392641,23:02,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,26-04-15,Mrrl,0,8393479,09:00,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,27-04-15,Vedomir,0,8394645,11:51,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,27-04-15,Mrrl,0,8394657,11:59,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,24-04-15,Vedomir,+11,8392637,22:58,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,volum_separatum,0,8392979,11:59,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,Vedomir,0,8393009,12:38,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,24-04-15,k12th,+2,8392655,23:11,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,k12th,+1,8392911,10:32,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,Awento,0,8392731,00:38,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,za90,+1,8392841,08:07,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,ServPonomarev,0,8392869,09:22,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,Vedomir,0,8392931,10:54,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,OnYourLips,0,8392883,09:40,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,sheshanaag,0,8392889,09:52,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,Vedomir,0,8392933,10:55,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,sheshanaag,0,8392947,11:19,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,Vedomir,0,8392961,11:37,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,sheshanaag,+1,8393051,13:16,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,Vedomir,0,8393075,13:48,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,volum_separatum,0,8392987,12:11,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,Vedomir,+2,8393017,12:44,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,volum_separatum,0,8393029,12:51,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,floppox,+1,8393039,13:02,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,volum_separatum,0,8393047,13:14,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,floppox,+1,8393061,13:28,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,Vedomir,+1,8393043,13:13,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,Vedomir,+1,8393057,13:24,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,ServPonomarev,0,8393105,14:20,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,questor,0,8393185,17:03,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,Vedomir,+2,8393215,18:25,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,floppox,0,8392989,12:12,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,Vedomir,–1,8393019,12:48,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,questor,+1,8393129,15:04,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,ServPonomarev,+3,8393253,19:48,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,questor,+1,8393259,20:03,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,Ovsiannikov,0,8393147,15:45,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,uvelichitel,0,8393201,18:02,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
useful,25-04-15,n0dwis,+2,8393351,23:07,2015-04-24,256571,17:02,ok,Программист == творчество || программист != творчество
